Name,BusinessEntityID,Revenue,SquareFeet,NumberEmployees
A Typical Bike Shop,1934,11342385.9,8000,8
Big Cycle Mall,1870,11342385.9,77000,89
Swift Cycles,1946,11342385.9,22000,14
Solid Bike Parts,1968,11342385.9,77000,99
Totes & Baskets Company,1992,11342385.9,6000,2
World of Bikes,1994,11342385.9,19000,17
Great Bicycle Supply,1980,11342385.9,27000,20
Practical Bike Supply Company,1436,11342385.9,26000,25
Friendly Neighborhood Bikes,1448,11342385.9,28000,27
Orange Bicycle Company,1480,11342385.9,37000,32
Gift and Toy Store,1822,11342385.9,36000,37
Black Bicycle Company,1806,11342385.9,40000,45
Maintenance and Repair for Bicycles,1812,11342385.9,41000,42
Bicycle Lines Distributors,1858,11342385.9,77000,83
Designer Department Stores,1848,11342385.9,74000,89
Extraordinary Bike Works,1836,11342385.9,75000,83
Beneficial Exercises and Activities,1216,11342385.9,9000,8
Extras Sporting Goods,1172,11342385.9,7000,2
Out-of-the-Way Hotels,1268,11342385.9,8000,4
Largest Bike Store,1280,11342385.9,7000,7
District Mall,1228,11342385.9,19000,14
Specialty Sports Store,1256,11342385.9,20000,16
Yellow Bicycle Company,1374,11342385.9,26000,29
"Contoso, Ltd.",1390,11342385.9,24000,25
Fitness Hotel,1346,11342385.9,75000,76
Leading Sales & Repair,1358,11342385.9,75000,84
Chic Department Stores,1334,11342385.9,71000,58
Elite Bikes,1330,11342385.9,69000,58
Town Industries,1318,11342385.9,38000,40
Two-Seater Bikes,1306,11342385.9,80000,96
Go-cart and Bike Specialists,1294,11342385.9,78000,90
The Accessories Store,1034,11342385.9,18000,13
First Bike Store,1050,11342385.9,21000,17
Little Bicycle Supply Shop,1094,11342385.9,11000,6
All Seasons Sports Supply,1100,11342385.9,10000,9
Local Sales and Rental,1110,11342385.9,10000,2
Rural Sales and Service,1120,11342385.9,37000,43
Hardware Components,1126,11342385.9,75000,91
A Great Bicycle Company,1148,11342385.9,28000,28
Rental Bikes,1136,11342385.9,40000,46
Summer Sports Place,872,11342385.9,73000,73
Cash & Carry Bikes,902,11342385.9,39000,45
Unique Bikes,926,11342385.9,27000,25
Social Activities Club,914,11342385.9,39000,43
Modular Cycle Systems,932,11342385.9,6000,5
Journey Sporting Goods,936,11342385.9,21000,13
Genial Bike Associates,976,11342385.9,70000,55
Active Systems,952,11342385.9,39000,44
Westside Cycle Store,726,11342385.9,20000,10
Paint Supply,788,11342385.9,78000,90
Stationary Bikes and Stands,800,11342385.9,76000,96
Satin Finish Company,848,11342385.9,74000,66
Sleek Bikes ,860,11342385.9,70000,55
Fitness Toy Store,662,11342385.9,75000,84
Good Bike Shop,672,11342385.9,19000,14
Genuine Bike Shop,694,11342385.9,76000,95
Discount Bicycle Specialists,714,11342385.9,28000,28
Local Hardware Factory,702,11342385.9,41000,46
This Area Sporting Goods,684,11342385.9,39000,38
Responsible Bike Dealers,638,11342385.9,40000,49
Advanced Bike Components,642,11342385.9,38000,40
Sheet Metal Manufacturing,598,11342385.9,19000,17
Third Bike Store,506,11342385.9,37000,44
Global Sporting Goods,486,11342385.9,36000,39
Travel Systems,494,11342385.9,21000,19
Grease and Oil Products Company,496,11342385.9,36000,38
Unsurpassed Bikes,450,11342385.9,39000,32
Lots of Bikes Storehouse,524,11342385.9,73000,76
Client Discount Store,546,11342385.9,24000,20
Best o' Bikes,542,11342385.9,19000,10
Valley Bicycle Specialists,308,11342385.9,72000,66
Riders Company,296,11342385.9,21000,15
Mountain Toy Store,342,11342385.9,18000,17
The Gear Store,372,11342385.9,21000,14
Immense Manufacturing Company,374,11342385.9,76000,73
Grand Bicycle Stores,398,11342385.9,10000,2
Flawless Bike Shop,396,11695019.06,10000,4
Extended Bike Sales,376,11695019.06,73000,76
Resale Services,370,11695019.06,21000,16
Remarkable Bike Store,388,11695019.06,17000,10
Imported and Domestic Cycles,336,11695019.06,24000,20
Bold Bike Accessories,348,11695019.06,72000,58
Professional Sales and Service,294,11695019.06,18000,14
Traction Tire Company,448,11695019.06,39000,31
Pro Sporting Goods,460,11695019.06,79000,90
World Bike Discount Store,484,11695019.06,39000,38
Economy Bikes Company,504,11695019.06,41000,43
Aerobic Exercise Company,644,11695019.06,40000,43
Fleet Bikes,700,11695019.06,40000,49
Another Sporting Goods Company,712,11695019.06,37000,31
Two Wheels Cycle Store,724,11695019.06,22000,13
Extreme Riding Supplies,696,11695019.06,79000,96
Thrilling Bike Tours,682,11695019.06,37000,37
Preferred Bikes,790,11695019.06,77000,91
The New Bike Store,966,11695019.06,37000,40
Riding Excursions,924,11695019.06,27000,28
Retail Cycle Shop,912,11695019.06,38000,46
Basic Sports Equipment,900,11695019.06,38000,44
Strenuous Exercise Shop,1098,11695019.06,7000,8
Good Toys,1092,11695019.06,9000,5
Brakes and Gears,1032,11695019.06,18000,12
Countryside Company,1048,11695019.06,26000,20
More Bikes!,1308,11695019.06,79000,97
Eastside Department Store,1336,11695019.06,70000,61
Main Bicycle Services,1360,11695019.06,75000,85
Healthy Activity Store,1348,11695019.06,74000,79
Sports Products Store,1376,11695019.06,26000,28
Field Trip Store,1242,11695019.06,8000,2
Sample Bike Store,1170,11695019.06,7000,5
Sparkling Paint and Finishes,1860,11695019.06,76000,84
Major Sporting Goods,1824,11695019.06,40000,36
Alpine Ski House,1458,11695019.06,37000,32
Wire Baskets and Parts,1956,11695019.06,19000,19
Quantity Discounts,1944,11695019.06,19000,13
Thrifty Parts and Sales,1932,11695019.06,8000,7
